+-------------------------------------+-------+
| material                            | id    |
| cobblestone_stairs                  | 85737 |
| cobblestone_wall                    | 52329 |
| cobweb                              | 33886 |
| cocoa                               | 34057 |
| cocoa_beans                         | 56653 |
| cod                                 | 98680 |
| cod_bucket                          | 59281 |
| cod_spawn_egg                       | 56826 |
| command_block                       | 89241 |
| command_block_minecart              | 53721 |
| comparator                          | 93462 |
| compass                             | 84242 |
| composter                           | 23310 |
| conduit                             | 69182 |
| cooked_beef                         | 69628 |
| cooked_chicken                      | 71677 |
| cooked_cod                          | 7104  |
| cooked_mutton                       | 10815 |
| cooked_porkchop                     | 53302 |
| cooked_rabbit                       | 32434 |
| cooked_salmon                       | 70246 |
| cookie                              | 9764  |
| copper_block                        | 27239 |
| copper_ingot                        | 44161 |
| copper_ore                          | 42172 |
| cornflower                          | 27459 |
| cow_spawn_egg                       | 19373 |
| cracked_deepslate_bricks            | 90826 |
| cracked_deepslate_tiles             | 46125 |
| cracked_nether_bricks               | 85107 |
| cracked_polished_blackstone_bricks  | 91234 |
| cracked_stone_bricks                | 35186 |
| crafting_table                      | 48113 |
| creeper_banner_pattern              | 1550  |
| creeper_head                        | 37329 |
| creeper_spawn_egg                   | 58864 |
| creeper_wall_head                   | 24708 |
| crimson_button                      | 5810  |
| crimson_door                        | 57006 |
| crimson_fence                       | 63409 |
| crimson_fence_gate                  | 79865 |
| crimson_fungus                      | 31366 |
| crimson_hyphae                      | 43661 |
| crimson_nylium                      | 992   |
| crimson_planks                      | 30321 |
| crimson_pressure_plate              | 49372 |
| crimson_roots                       | 45073 |
| crimson_sign                        | 97853 |
| crimson_slab                        | 538   |
| crimson_stairs                      | 1354  |
| crimson_stem                        | 8361  |
| crimson_trapdoor                    | 67099 |
| crimson_wall_sign                   | 16402 |
| crossbow                            | 234   |
| crying_obsidian                     | 71778 |
| cut_copper                          | 8790  |
| cut_copper_slab                     | 56131 |
| cut_copper_stairs                   | 13875 |
| cut_red_sandstone                   | 51862 |
| cut_red_sandstone_slab              | 93571 |
| cut_sandstone                       | 96356 |
| cut_sandstone_slab                  | 91733 |
| cyan_banner                         | 57096 |
| cyan_bed                            | 36837 |
| cyan_candle                         | 76841 |
| cyan_candle_cake                    | 38702 |
| cyan_carpet                         | 7335  |
| cyan_concrete                       | 16225 |
| cyan_concrete_powder                | 65463 |
| cyan_dye                            | 39380 |
| cyan_glazed_terracotta              | 51851 |
| cyan_shulker_box                    | 20092 |
| cyan_stained_glass                  | 3813  |
| cyan_stained_glass_pane             | 66114 |
| cyan_terracotta                     | 72449 |
| cyan_wall_banner                    | 25957 |
| cyan_wool                           | 27921 |
| damaged_anvil                       | 84482 |
| dandelion                           | 27790 |
| dark_oak_boat                       | 22479 |
| dark_oak_button                     | 78305 |
| dark_oak_chest_boat                 | 31533 |
| dark_oak_door                       | 82493 |
| dark_oak_fence                      | 32130 |
| dark_oak_fence_gate                 | 20040 |
| dark_oak_leaves                     | 29067 |
| dark_oak_log                        | 44949 |
| dark_oak_planks                     | 2816  |
| dark_oak_pressure_plate             | 5099  |
| dark_oak_sapling                    | 63273 |
| dark_oak_sign                       | 23340 |
| dark_oak_slab                       | 26025 |
| dark_oak_stairs                     | 73849 |
| dark_oak_trapdoor                   | 34122 |
| dark_oak_wall_sign                  | 7331  |
| dark_oak_wood                       | 48508 |
| dark_prismarine                     | 41111 |
| dark_prismarine_slab                | 43362 |
| dark_prismarine_stairs              | 98770 |
| daylight_detector                   | 62475 |
| dead_brain_coral                    | 12653 |
| dead_brain_coral_block              | 54939 |
| dead_brain_coral_fan                | 42689 |
| dead_brain_coral_wall_fan           | 20880 |
| dead_bubble_coral                   | 98713 |
| dead_bubble_coral_block             | 56839 |
| dead_bubble_coral_fan               | 49485 |
| dead_bubble_coral_wall_fan          | 29796 |
| dead_bush                           | 61187 |
| dead_fire_coral                     | 66723 |
| dead_fire_coral_block               | 20017 |
| dead_fire_coral_fan                 | 38135 |
| dead_fire_coral_wall_fan            | 25882 |
| dead_horn_coral                     | 46064 |
| dead_horn_coral_block               | 68158 |
| dead_horn_coral_fan                 | 77092 |
| dead_horn_coral_wall_fan            | 42317 |
| dead_tube_coral                     | 66289 |
| dead_tube_coral_block               | 32063 |
| dead_tube_coral_fan                 | 59685 |
| dead_tube_coral_wall_fan            | 36556 |
| debug_stick                         | 63780 |
| deepslate                           | 7565  |
| deepslate_brick_slab                | 30410 |
| deepslate_brick_stairs              | 56762 |
| deepslate_brick_wall                | 39354 |
| deepslate_bricks                    | 72548 |
| deepslate_coal_ore                  | 3980  |
| deepslate_copper_ore                | 9006  |
| deepslate_diamond_ore               | 69285 |
| deepslate_emerald_ore               | 89781 |
| deepslate_gold_ore                  | 43221 |
| deepslate_iron_ore                  | 30301 |
| deepslate_lapis_ore                 | 7414  |
| deepslate_redstone_ore              | 39785 |
| deepslate_tile_slab                 | 12345 |
| deepslate_tile_stairs               | 94121 |
| deepslate_tile_wall                 | 21289 |
| deepslate_tiles                     | 80147 |
| detector_rail                       | 82635 |
| diamond                             | 54676 |
| diamond_axe                         | 30083 |
| diamond_block                       | 78338 |
| diamond_boots                       | 68246 |
| diamond_chestplate                  | 34944 |
| diamond_helmet                      | 40024 |
| diamond_hoe                         | 36531 |
| diamond_horse_armor                 | 78066 |
| diamond_leggings                    | 42677 |
| diamond_ore                         | 43351 |
| diamond_pickaxe                     | 93026 |
| diamond_shovel                      | 29262 |
| diamond_sword                       | 6354  |
| diorite                             | 27346 |
| diorite_slab                        | 12135 |
| diorite_stairs                      | 50103 |
| diorite_wall                        | 21079 |
| dirt                                | 83655 |
| dirt_path                           | 92925 |
| disc_fragment_5                     | 71600 |
| dispenser                           | 11093 |
| dolphin_spawn_egg                   | 80064 |
| donkey_spawn_egg                    | 42206 |
| dragon_breath                       | 27756 |
| dragon_egg                          | 37561 |
| dragon_head                         | 2060  |
| dragon_wall_head                    | 91401 |
| dried_kelp                          | 95171 |
| dried_kelp_block                    | 44689 |
| dripstone_block                     | 82526 |
| dropper                             | 36398 |
| drowned_spawn_egg                   | 18073 |
| echo_shard                          | 18340 |
| egg                                 | 357   |
| elder_guardian_spawn_egg            | 95016 |
| elytra                              | 4337  |
| emerald                             | 4484  |
| emerald_block                       | 5874  |
| emerald_ore                         | 63847 |
| enchanted_book                      | 38736 |
| enchanted_golden_apple              | 58059 |
| enchanting_table                    | 99320 |
| end_crystal                         | 55826 |
| end_gateway                         | 75904 |
| end_portal                          | 41808 |
| end_portal_frame                    | 83742 |
| end_rod                             | 60515 |
| end_stone                           | 96577 |
| end_stone_brick_slab                | 15095 |
| end_stone_brick_stairs              | 58374 |
| end_stone_brick_wall                | 24038 |
| end_stone_bricks                    | 39344 |
| ender_chest                         | 23690 |
| ender_eye                           | 13082 |
| ender_pearl                         | 36207 |
| enderman_spawn_egg                  | 69140 |
| endermite_spawn_egg                 | 17143 |
| evoker_spawn_egg                    | 35100 |
| experience_bottle                   | 61979 |
| exposed_copper                      | 87416 |
| exposed_cut_copper                  | 78997 |
| exposed_cut_copper_slab             | 47844 |
| exposed_cut_copper_stairs           | 54932 |
| farmland                            | 40033 |
| feather                             | 46979 |
| fermented_spider_eye                | 30694 |
| fern                                | 39387 |
| filled_map                          | 7935  |
| fire                                | 43222 |
| fire_charge                         | 18173 |
| fire_coral                          | 59912 |
| fire_coral_block                    | 16982 |
| fire_coral_fan                      | 93788 |
| fire_coral_wall_fan                 | 78197 |
| firework_rocket                     | 79340 |
| firework_star                       | 29738 |
| fishing_rod                         | 67442 |
| fletching_table                     | 74647 |
| flint                               | 21001 |
| flint_and_steel                     | 53773 |
| flower_banner_pattern               | 42017 |
| flower_pot                          | 46769 |
| flowering_azalea                    | 61880 |
| flowering_azalea_leaves             | 31331 |
| fox_spawn_egg                       | 26289 |
| frog_spawn_egg                      | 20038 |
| frogspawn                           | 22935 |
| frosted_ice                         | 37615 |
| furnace                             | 27704 |
| furnace_minecart                    | 9882  |
| ghast_spawn_egg                     | 67267 |
| ghast_tear                          | 33152 |
| gilded_blackstone                   | 8748  |
| glass                               | 36988 |
| glass_bottle                        | 60873 |
| glass_pane                          | 98123 |
| glistering_melon_slice              | 84343 |
| globe_banner_pattern                | 46959 |
| glow_berries                        | 18914 |
| glow_ink_sac                        | 18538 |
| glow_item_frame                     | 79155 |
| glow_lichen                         | 73149 |
| glow_squid_spawn_egg                | 94978 |
| glowstone                           | 39800 |
| glowstone_dust                      | 61625 |
| goat_horn                           | 38631 |
| goat_spawn_egg                      | 48477 |
| gold_block                          | 74702 |
| gold_ingot                          | 91624 |
| gold_nugget                         | 62197 |
| gold_ore                            | 39715 |
| golden_apple                        | 78660 |
| golden_axe                          | 31768 |
| golden_boots                        | 71691 |
| golden_carrot                       | 90841 |
| golden_chestplate                   | 71883 |
| golden_helmet                       | 79523 |
| golden_hoe                          | 38216 |
| golden_horse_armor                  | 94247 |
| golden_leggings                     | 48736 |
| golden_pickaxe                      | 1783  |
| golden_shovel                       | 68761 |
| golden_sword                        | 42503 |
| granite                             | 84994 |
| granite_slab                        | 39575 |
| granite_stairs                      | 94535 |
| granite_wall                        | 48519 |
| grass                               | 15734 |
| grass_block                         | 79684 |
| gravel                              | 90311 |
| gray_banner                         | 57992 |
| gray_bed                            | 43845 |
| gray_candle                         | 77737 |
| gray_candle_cake                    | 75438 |
| gray_carpet                         | 8231  |
| gray_concrete                       | 43905 |
| gray_concrete_powder                | 9143  |
| gray_dye                            | 46388 |
| gray_glazed_terracotta              | 16203 |
| gray_shulker_box                    | 56828 |
| gray_stained_glass                  | 49125 |
| gray_stained_glass_pane             | 49698 |
| gray_terracotta                     | 65377 |
| gray_wall_banner                    | 62693 |
| gray_wool                           | 94865 |
| green_banner                        | 28200 |
| green_bed                           | 84293 |
| green_candle                        | 47945 |
| green_candle_cake                   | 6350  |
| green_carpet                        | 78439 |
| green_concrete                      | 49665 |
| green_concrete_powder               | 90359 |
| green_dye                           | 86836 |
| green_glazed_terracotta             | 20683 |
| green_shulker_box                   | 87740 |
| green_stained_glass                 | 71333 |
| green_stained_glass_pane            | 59650 |
| green_terracotta                    | 26305 |
| green_wall_banner                   | 93605 |
| green_wool                          | 6609  |
| grindstone                          | 1393  |
| guardian_spawn_egg                  | 62771 |
| gunpowder                           | 7641  |
| hanging_roots                       | 56578 |
| hay_block                           | 72206 |
| heart_of_the_sea                    | 82258 |
| heavy_weighted_pressure_plate       | 38572 |
| hoglin_spawn_egg                    | 72211 |
| honey_block                         | 11177 |
| honey_bottle                        | 34666 |
| honeycomb                           | 22588 |
| honeycomb_block                     | 8042  |
| hopper                              | 90004 |
| hopper_minecart                     | 83710 |
| horn_coral                          | 39253 |
| horn_coral_block                    | 65123 |
| horn_coral_fan                      | 32745 |
| horn_coral_wall_fan                 | 94632 |
| horse_spawn_egg                     | 91487 |
| husk_spawn_egg                      | 53799 |
| ice                                 | 4075  |
| infested_chiseled_stone_bricks      | 87547 |
| infested_cobblestone                | 27685 |
| infested_cracked_stone_bricks       | 76237 |
| infested_deepslate                  | 55058 |
| infested_mossy_stone_bricks         | 46191 |
| infested_stone                      | 77130 |
| infested_stone_bricks               | 29511 |
| ink_sac                             | 73116 |
| iron_axe                            | 13527 |
| iron_bars                           | 43255 |
| iron_block                          | 17526 |
| iron_boots                          | 7434  |
| iron_chestplate                     | 8300  |
| iron_door                           | 16197 |
| iron_helmet                         | 27812 |
| iron_hoe                            | 19975 |
| iron_horse_armor                    | 82918 |
| iron_ingot                          | 34448 |
| iron_leggings                       | 22977 |
| iron_nugget                         | 24333 |
| iron_ore                            | 26795 |
| iron_pickaxe                        | 96854 |
| iron_shovel                         | 17050 |
| iron_sword                          | 45542 |
| iron_trapdoor                       | 38770 |
| item_frame                          | 97729 |
| jack_o_lantern                      | 42358 |
| jigsaw                              | 41825 |
| jukebox                             | 43718 |
| jungle_boat                         | 8514  |
| jungle_button                       | 34484 |
| jungle_chest_boat                   | 73248 |
| jungle_door                         | 68528 |
| jungle_fence                        | 89775 |
| jungle_fence_gate                   | 61755 |
| jungle_leaves                       | 85246 |
| jungle_log                          | 66146 |
| jungle_planks                       | 58995 |
| jungle_pressure_plate               | 1342  |
| jungle_sapling                      | 1046  |
| jungle_sign                         | 9375  |
| jungle_slab                         | 12060 |
| jungle_stairs                       | 30028 |
| jungle_trapdoor                     | 6973  |
| jungle_wall_sign                    | 23568 |
| jungle_wood                         | 34543 |
| kelp                                | 88158 |
| kelp_plant                          | 54602 |
| knowledge_book                      | 27658 |
| ladder                              | 8290  |
| lantern                             | 88454 |
| lapis_block                         | 72435 |
| lapis_lazuli                        | 85031 |
| lapis_ore                           | 94952 |
| large_amethyst_bud                  | 11459 |
| large_fern                          | 53503 |
| lava                                | 14400 |
| lava_bucket                         | 24777 |
| lava_cauldron                       | 35265 |
| lead                                | 17596 |
| leather                             | 34473 |
| leather_boots                       | 23947 |
| leather_chestplate                  | 8203  |
| leather_helmet                      | 81859 |
| leather_horse_armor                 | 45319 |
| leather_leggings                    | 35104 |
| lectern                             | 79031 |
| legacy_acacia_door                  | 28059 |
| legacy_acacia_door_item             | 82007 |
| legacy_acacia_fence                 | 83044 |
| legacy_acacia_fence_gate            | 99142 |
| legacy_acacia_stairs                | 73559 |
| legacy_activator_rail               | 63346 |
| legacy_air                          | 11540 |
| legacy_anvil                        | 64310 |
| legacy_apple                        | 18212 |
| legacy_armor_stand                  | 37056 |
| legacy_arrow                        | 79827 |
| legacy_baked_potato                 | 42225 |
| legacy_banner                       | 44994 |
| legacy_barrier                      | 61921 |
| legacy_beacon                       | 41530 |
| legacy_bed                          | 12363 |
| legacy_bed_block                    | 63833 |
| legacy_bedrock                      | 54928 |
| legacy_beetroot                     | 28522 |
| legacy_beetroot_block               | 77304 |
| legacy_beetroot_seeds               | 59053 |
| legacy_beetroot_soup                | 89804 |
| legacy_birch_door                   | 52819 |
| legacy_birch_door_item              | 28095 |
| legacy_birch_fence                  | 39276 |
| legacy_birch_fence_gate             | 24094 |
| legacy_birch_wood_stairs            | 78327 |
| legacy_black_glazed_terracotta      | 76305 |
| legacy_black_shulker_box            | 99106 |
| legacy_blaze_powder                 | 45580 |
| legacy_blaze_rod                    | 96852 |
| legacy_blue_glazed_terracotta       | 74648 |
| legacy_blue_shulker_box             | 87881 |
| legacy_boat                         | 58294 |
| legacy_boat_acacia                  | 44613 |
| legacy_boat_birch                   | 76359 |
| legacy_boat_dark_oak                | 17625 |
| legacy_boat_jungle                  | 54278 |
| legacy_boat_spruce                  | 31371 |
| legacy_bone                         | 58682 |
| legacy_bone_block                   | 7400  |
| legacy_book                         | 58719 |
| legacy_book_and_quill               | 30877 |
| legacy_bookshelf                    | 57771 |
| legacy_bow                          | 12692 |
| legacy_bowl                         | 58968 |
| legacy_bread                        | 90402 |
| legacy_brewing_stand                | 14785 |
| legacy_brewing_stand_item           | 80530 |
| legacy_brick                        | 94315 |
| legacy_brick_stairs                 | 93246 |
| legacy_brown_glazed_terracotta      | 87720 |
| legacy_brown_mushroom               | 86551 |
| legacy_brown_shulker_box            | 3257  |
| legacy_bucket                       | 84832 |
| legacy_burning_furnace              | 91222 |
| legacy_cactus                       | 52707 |
| legacy_cake                         | 74926 |
| legacy_cake_block                   | 88892 |
| legacy_carpet                       | 95233 |
| legacy_carrot                       | 97465 |
| legacy_carrot_item                  | 78201 |
| legacy_carrot_stick                 | 17162 |
| legacy_cauldron                     | 55480 |
| legacy_cauldron_item                | 99898 |
| legacy_chainmail_boots              | 72068 |
| legacy_chainmail_chestplate         | 55122 |
| legacy_chainmail_helmet             | 35242 |
| legacy_chainmail_leggings           | 78599 |
| legacy_chest                        | 16587 |
| legacy_chorus_flower                | 24190 |
| legacy_chorus_fruit                 | 70161 |
| legacy_chorus_fruit_popped          | 524   |
| legacy_chorus_plant                 | 7560  |
| legacy_clay                         | 85207 |
| legacy_clay_ball                    | 12359 |
| legacy_clay_brick                   | 69529 |
| legacy_coal                         | 88077 |
| legacy_coal_block                   | 54491 |
| legacy_coal_ore                     | 70352 |
| legacy_cobble_wall                  | 13198 |
| legacy_cobblestone                  | 7754  |
| legacy_cobblestone_stairs           | 17983 |
| legacy_cocoa                        | 23059 |
| legacy_command                      | 32437 |
| legacy_command_chain                | 78487 |
| legacy_command_minecart             | 31517 |
| legacy_command_repeating            | 73437 |
| legacy_compass                      | 21980 |
| legacy_concrete                     | 94107 |
| legacy_concrete_powder              | 42973 |
| legacy_cooked_beef                  | 23174 |
| legacy_cooked_chicken               | 47155 |
| legacy_cooked_fish                  | 46618 |
| legacy_cooked_mutton                | 8969  |
| legacy_cooked_rabbit                | 30588 |
| legacy_cookie                       | 30458 |
| legacy_crops                        | 24013 |
| legacy_cyan_glazed_terracotta       | 17889 |
| legacy_cyan_shulker_box             | 68882 |
| legacy_dark_oak_door                | 80647 |
| legacy_dark_oak_door_item           | 8171  |
| legacy_dark_oak_fence               | 7608  |
| legacy_dark_oak_fence_gate          | 39154 |
| legacy_dark_oak_stairs              | 11779 |
| legacy_daylight_detector            | 63637 |
| legacy_daylight_detector_inverted   | 5343  |
| legacy_dead_bush                    | 94701 |
| legacy_detector_rail                | 80789 |
| legacy_diamond                      | 92414 |
| legacy_diamond_axe                  | 50925 |
| legacy_diamond_barding              | 99760 |
| legacy_diamond_block                | 9196  |
| legacy_diamond_boots                | 99104 |
| legacy_diamond_chestplate           | 99894 |
| legacy_diamond_helmet               | 48206 |
| legacy_diamond_hoe                  | 57373 |
| legacy_diamond_leggings             | 91467 |
| legacy_diamond_ore                  | 64193 |
| legacy_diamond_pickaxe              | 98252 |
| legacy_diamond_spade                | 14788 |
| legacy_diamond_sword                | 37212 |
| legacy_diode                        | 79029 |
| legacy_diode_block_off              | 63155 |
| legacy_diode_block_on               | 54203 |
| legacy_dirt                         | 12637 |
| legacy_dispenser                    | 11903 |
| legacy_double_plant                 | 78483 |
| legacy_double_step                  | 64292 |
| legacy_double_stone_slab2           | 64678 |
| legacy_dragon_egg                   | 45679 |
| legacy_dragons_breath               | 24501 |
| legacy_dropper                      | 74136 |
| legacy_egg                          | 15311 |
| legacy_elytra                       | 25031 |
| legacy_emerald                      | 42222 |
| legacy_emerald_block                | 4028  |
| legacy_emerald_ore                  | 84689 |
| legacy_empty_map                    | 54708 |
| legacy_enchanted_book               | 46918 |
| legacy_enchantment_table            | 38864 |
| legacy_end_bricks                   | 95532 |
| legacy_end_crystal                  | 76668 |
| legacy_end_gateway                  | 96746 |
| legacy_end_rod                      | 98253 |
| legacy_ender_chest                  | 77237 |
| legacy_ender_pearl                  | 89753 |
| legacy_ender_portal                 | 20025 |
| legacy_ender_portal_frame           | 51079 |
| legacy_ender_stone                  | 20504 |
| legacy_exp_bottle                   | 81118 |
| legacy_explosive_minecart           | 34947 |
| legacy_eye_of_ender                 | 32516 |
| legacy_feather                      | 84717 |
| legacy_fence                        | 5915  |
| legacy_fence_gate                   | 63919 |
| legacy_fermented_spider_eye         | 69148 |
| legacy_fire                         | 72204 |
| legacy_fireball                     | 85931 |
| legacy_firework                     | 25181 |
| legacy_firework_charge              | 62550 |
| legacy_fishing_rod                  | 20988 |
| legacy_flint                        | 10003 |
| legacy_flint_and_steel              | 91703 |
| legacy_flower_pot                   | 54887 |
| legacy_flower_pot_item              | 24811 |
| legacy_frosted_ice                  | 91161 |
| legacy_furnace                      | 65442 |
| legacy_ghast_tear                   | 41270 |
| legacy_glass                        | 25990 |
| legacy_glass_bottle                 | 97535 |
| legacy_glowing_redstone_ore         | 70199 |
| legacy_glowstone                    | 73314 |
| legacy_glowstone_dust               | 37103 |
| legacy_gold_axe                     | 96325 |
| legacy_gold_barding                 | 72328 |
| legacy_gold_block                   | 82820 |
| legacy_gold_boots                   | 72728 |
| legacy_gold_chestplate              | 67614 |
| legacy_gold_helmet                  | 86518 |
| legacy_gold_hoe                     | 2773  |
| legacy_gold_ingot                   | 99742 |
| legacy_gold_leggings                | 819   |
| legacy_gold_nugget                  | 83039 |
| legacy_gold_ore                     | 9593  |
| legacy_gold_pickaxe                 | 3524  |
| legacy_gold_plate                   | 99181 |
| legacy_gold_record                  | 12218 |
| legacy_gold_spade                   | 88412 |
| legacy_gold_sword                   | 10836 |
| legacy_golden_apple                 | 48026 |
| legacy_golden_carrot                | 21699 |
| legacy_grass                        | 4736  |
| legacy_grass_path                   | 14244 |
| legacy_gravel                       | 11005 |
| legacy_gray_glazed_terracotta       | 82241 |
| legacy_gray_shulker_box             | 38322 |
| legacy_green_glazed_terracotta      | 35157 |
| legacy_green_record                 | 99011 |
| legacy_green_shulker_box            | 88902 |
| legacy_grilled_pork                 | 5104  |
| legacy_hard_clay                    | 18687 |
| legacy_hay_block                    | 5720  |
| legacy_hopper                       | 10698 |
| legacy_hopper_minecart              | 21640 |
| legacy_huge_mushroom_1              | 79528 |
| legacy_huge_mushroom_2              | 79529 |
| legacy_ice                          | 19030 |
| legacy_ink_sack                     | 94437 |
